fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220517 185510	-0.119884553669544	5916	786	7	5	8813000	1
20220517 185557	-0.56335947195912	3576	146	12	5	9431000	2
20220517 185637	-0.463804150774376	7692	991	17	5	8178000	3
20220517 185711	-0.299662237557641	6284	733	7	5	8594000	4
20220517 185756	-0.210042339721986	3314	1035	19	5	9218000	5
20220517 185843	-0.405147200521605	4397	336	11	5	9420000	6
20220517 185930	-0.92584135729121	2538	619	14	5	9794000	7
20220517 185958	-0.316094243289262	6825	1665	5	5	8346000	8
20220517 190043	-0.0173466570966411	2320	446	9	5	10253000	9
20220517 190124	-0.694775094665238	5202	1492	20	5	8669000	10
20220517 190145	-0.741631032062287	4682	52	3	5	8969000	11
20220517 190225	-0.0899249700029031	7110	1228	14	5	8250000	12
20220517 190306	-0.784527965809684	4454	1234	10	5	9674000	13
20220517 190331	0.0301425419806038	6948	1642	12	5	0	14
20220517 190402	-0.649435635394184	3591	848	5	5	9454000	15
20220517 190500	-0.392614787118509	1616	126	17	5	9772000	16
20220517 190547	-0.948066996543879	1973	986	10	5	10095000	17
20220517 190626	-0.978629389665399	2419	1170	7	5	9279000	18
20220517 190651	0.066949288305868	1209	604	11	5	0	19
20220517 190728	-0.0437186329055057	1979	142	6	5	9811000	20
20220517 190750	-0.916476438706502	3273	1628	3	5	8544000	21
20220517 190844	-0.95360208068246	44	17	10	5	8936000	22
20220517 190944	-0.027073627585659	634	308	20	5	9447000	23
20220517 191026	-0.950058610321293	7086	850	20	5	8277000	24
20220517 191104	-0.835694482357565	1711	728	11	5	9821000	25
20220517 191122	-0.0249704359329983	3030	323	3	5	8919000	26
20220517 191203	-0.0413776713499434	1120	554	11	5	9814000	27
20220517 191249	-0.797279551521702	756	346	16	5	8680000	28
20220517 191341	-0.014010943610104	290	2	10	5	8659000	29
20220517 191425	-0.0717024482976234	2454	100	14	5	9435000	30
20220517 191442	-0.821451591992018	7457	891	3	5	8277000	31
20220517 191522	-0.876629180298855	1677	837	16	5	9767000	32
20220517 191600	-0.0330706219408235	3329	320	12	5	8981000	33
20220517 191642	-0.614730934997773	4905	123	15	5	8897000	34
20220517 191750	-0.360785420702546	5294	6	19	5	8136000	35
20220517 191837	-0.843067510031159	3048	1523	20	5	8934000	36
20220517 191942	-0.429861129360873	18	6	12	5	8043000	37
20220517 192030	-0.39226894410408	2462	1219	17	5	9147000	38
20220517 192054	-0.861088774750454	580	131	3	5	8919000	39
20220517 192115	-0.751882397794612	2802	1394	4	5	8490000	40
20220517 192138	-0.586903642121891	2918	1136	3	5	8603000	41
20220517 192154	-0.677293853874592	5127	4	3	5	8470000	42
20220517 192228	-0.0173984339737364	1638	717	10	5	9827000	43
20220517 192253	-0.0935195871088348	869	424	5	5	10129000	44
20220517 192324	-0.16138836032181	748	355	7	5	9327000	45
20220517 192342	-0.380488044681573	1030	508	3	5	8884000	46
20220517 192409	-0.063915392754768	1655	434	6	5	9849000	47
20220517 192450	-0.114103346969594	1208	485	20	5	9565000	48
20220517 192521	-0.109367772673076	1587	3	6	5	9206000	49
20220517 192553	-0.153239050674509	2783	1391	10	5	9020000	50
20220517 192619	-0.241323450607717	992	487	5	5	10193000	51
20220517 192703	-0.256660437527829	718	355	20	5	8374000	52
