fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220529 172413	2006	12	327	10	5	11451000	1
20220529 173248	2112	7	402	8	5	10897000	2
20220529 174448	1518	14	300	11	5	11584000	3
20220529 174710	1026	4	268	8	5	10132000	4
20220529 175317	1867	5	364	11	5	10566000	5
20220529 180510	1427	14	433	12	5	11258000	6
20220529 181810	2384	9	376	9	5	11623000	7
20220529 182751	1276	15	336	10	5	11145000	8
20220529 183333	1095	7	410	12	5	11046000	9
20220529 184128	1676	10	292	7	5	11518000	10
20220529 185544	2286	8	241	13	5	11177000	11
20220529 190444	2194	5	489	13	5	10562000	12
20220529 190701	1574	2	448	8	5	4935000	13
20220529 191619	1291	10	229	13	5	11422000	14
20220529 192134	2456	3	212	7	5	8066000	15
20220529 193433	1766	12	477	10	5	11535000	16
20220529 195110	2291	10	500	12	5	11548000	17
20220529 195651	1000	13	200	7	5	11455000	18
20220529 200215	1000	9	500	9	5	11511000	19
20220529 201614	2500	14	200	7	5	11400000	20
20220529 202246	1000	11	425	10	5	11680000	21
20220529 203525	2500	11	500	7	5	11627000	22
20220529 204400	1515	11	500	8	5	11517000	23
20220529 204908	1000	9	200	9	5	11348000	24
20220529 205746	1000	13	200	13	5	11326000	25
20220529 211240	2500	10	430	9	5	11459000	26
20220529 212623	1674	9	440	13	5	11334000	27
20220529 213819	2500	9	500	7	5	11350000	28
20220529 220024	2500	11	500	13	5	11772000	29
20220529 221922	2500	13	500	10	5	11647000	30
20220529 223804	2499	11	500	11	5	11610000	31
20220529 225026	2271	13	500	7	5	11693000	32
20220529 225824	1000	11	500	13	5	11392000	33
20220529 230333	1000	11	367	7	5	11382000	34
20220529 232254	2328	11	379	13	5	11461000	35
20220529 232924	1000	10	323	10	5	11587000	36
20220529 233814	1328	13	290	9	5	11305000	37
20220529 235923	2139	14	200	13	5	11024000	38
20220530 000636	1000	14	200	10	5	11537000	39
20220530 001948	2500	14	500	7	5	11602000	40
20220530 002343	1000	5	200	13	5	10503000	41
20220530 003630	2500	12	500	7	5	11609000	42
20220530 004719	2500	9	200	7	5	11357000	43
20220530 005336	1000	11	200	10	5	11419000	44
20220530 010309	1743	14	244	7	5	11351000	45
20220530 011313	1839	9	298	10	5	11465000	46
20220530 012622	2500	13	391	7	5	11496000	47
20220530 014301	2500	9	500	13	5	11364000	48
20220530 020324	2500	12	500	13	5	11795000	49
20220530 020740	1000	9	405	7	5	11327000	50
20220530 022554	2393	14	500	11	5	11497000	51
20220530 024245	2190	11	500	13	5	11670000	52
20220530 024953	1000	12	307	11	5	11608000	53
20220530 030849	2500	12	500	12	5	11601000	54
20220530 031155	1000	6	200	7	5	10407000	55
20220530 031859	1216	10	500	10	5	11579000	56
20220530 033950	2500	13	500	13	5	11656000	57
20220530 034448	1000	8	385	10	5	11570000	58
20220530 035558	2226	12	200	7	5	11279000	59
20220530 040713	2500	8	334	9	5	11241000	60
20220530 041358	1000	13	499	10	5	11590000	61
20220530 042329	2075	9	367	8	5	11272000	62
20220530 043224	1543	10	268	10	5	11737000	63
20220530 044544	2352	11	500	9	5	11348000	64
20220530 050120	2500	10	200	11	5	11549000	65
20220530 051040	1499	10	399	11	5	11537000	66
20220530 052303	1610	13	200	11	5	11584000	67
20220530 061032	1000	12	500	7	5	11616000	68
20220530 062726	2500	10	283	13	5	11638000	69
20220530 064121	2500	10	269	10	5	11730000	70
20220530 064805	1120	11	500	10	5	11716000	71
