fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220527 150032	703	23	212	29	5	9998000	1
20220527 151104	767	14	337	15	5	11304000	2
20220527 152338	411	28	167	30	5	9684000	3
20220527 152443	115	6	115	12	5	10633000	4
20220527 153712	620	9	274	33	5	11097000	5
20220527 155149	356	27	388	40	5	9814000	6
20220527 160738	931	16	294	18	5	11012000	7
20220527 161402	265	30	228	23	5	9704000	8
20220527 161859	157	12	351	38	5	10338000	9
20220527 162134	506	20	153	2	5	11109000	10
20220527 165659	872	14	69	46	5	10574000	11
20220527 172212	816	9	481	49	5	10354000	12
20220527 172310	444	2	413	9	5	5515000	13
20220527 173342	274	19	50	44	5	9053000	14
20220527 173539	974	4	21	6	5	9050000	15
20220527 174818	560	24	462	25	5	10792000	16
20220527 175018	667	10	1	2	5	10201000	17
20220527 175249	660	20	500	2	5	10945000	18
20220527 180352	775	7	1	32	5	10915000	19
20220527 180541	476	15	162	2	5	10662000	20
20220527 180618	100	24	430	2	5	10839000	21
20220527 182140	1000	13	266	21	5	11066000	22
20220527 182319	100	8	96	39	5	10632000	23
20220527 183915	1000	14	500	26	5	10687000	24
20220527 184212	1000	25	500	2	5	10684000	25
20220527 184356	566	21	332	2	5	10658000	26
20220527 184638	943	18	260	2	5	10444000	27
20220527 185352	1000	8	229	17	5	11246000	28
20220527 185804	548	8	246	18	5	11287000	29
20220527 190647	696	14	244	20	5	10944000	30
20220527 190929	1000	15	356	2	5	10882000	31
20220527 191638	846	11	380	15	5	11263000	32
20220527 192259	786	9	295	17	5	11284000	33
20220527 192607	404	16	450	11	5	11298000	34
20220527 193152	687	8	143	20	5	11338000	35
20220527 193740	758	13	500	12	5	11311000	36
20220527 193837	100	20	500	11	5	10528000	37
20220527 194427	724	15	482	12	5	11289000	38
20220527 195052	779	13	379	13	5	11448000	39
20220527 195223	459	24	1	2	5	11217000	40
20220527 195812	738	12	350	13	5	11754000	41
20220527 200434	916	12	327	11	5	11513000	42
20220527 200823	479	12	353	13	5	11825000	43
20220527 200910	100	12	370	10	5	10696000	44
20220527 201327	562	12	343	12	5	11267000	45
20220527 201644	406	12	432	13	5	11609000	46
20220527 202157	454	11	290	21	5	11040000	47
20220527 202405	255	11	170	14	5	11503000	48
20220527 202800	551	10	280	13	5	11377000	49
20220527 202944	193	12	320	14	5	10984000	50
20220527 203342	456	12	4	14	5	10387000	51
20220527 203455	472	12	391	2	5	10437000	52
20220527 203938	476	20	500	14	5	10928000	53
20220527 204158	324	9	210	14	5	11435000	54
20220527 204249	241	21	49	2	5	11058000	55
20220527 204616	429	12	282	13	5	11825000	56
20220527 205949	1000	8	209	35	5	10781000	57
20220527 210523	697	26	500	11	5	11214000	58
20220527 211054	736	11	223	13	5	11596000	59
20220527 211250	423	26	500	5	5	11660000	60
20220527 211426	508	28	500	2	5	10860000	61
20220527 211651	376	25	266	8	5	11043000	62
20220527 211837	428	24	500	4	5	11379000	63
20220527 212229	453	12	340	14	5	11548000	64
20220527 212858	989	17	500	9	5	11742000	65
20220527 213312	768	25	500	7	5	11543000	66
20220527 213823	990	15	500	7	5	11883000	67
20220527 214200	749	17	500	6	5	11726000	68
20220527 214756	1000	16	339	8	5	11312000	69
20220527 215207	1000	15	500	5	5	11368000	70
20220527 215703	852	15	498	8	5	11487000	71
20220527 220227	1000	18	500	7	5	11662000	72
20220527 220447	441	21	500	6	5	11596000	73
20220527 220723	453	30	500	7	5	11566000	74
20220527 220934	462	29	133	5	5	11239000	75
20220527 221551	705	7	212	25	5	11063000	76
20220527 221644	100	7	115	19	5	11130000	77
20220527 221725	107	28	496	6	5	11020000	78
20220527 221907	211	5	198	30	5	10947000	79
20220527 222721	1000	12	308	13	5	11887000	80
20220527 223113	704	29	500	6	5	11539000	81
20220527 223622	772	4	476	31	5	10610000	82
20220527 223925	495	22	51	6	5	11727000	83
20220527 224128	361	19	127	6	5	11701000	84
20220527 224333	399	23	127	5	5	11460000	85
20220527 224609	492	20	1	5	5	10531000	86
20220527 224900	464	22	118	7	5	10865000	87
20220527 225212	545	25	306	6	5	11234000	88
20220527 225844	924	30	496	9	5	11686000	89
20220527 230642	999	16	412	10	5	11302000	90
20220527 230739	122	17	237	6	5	10568000	91
20220527 231154	548	29	413	9	5	11323000	92
20220527 231546	685	26	55	6	5	11445000	93
20220527 232026	472	16	208	13	5	10781000	94
20220527 232522	501	11	182	16	5	11143000	95
20220527 232642	202	24	58	6	5	11127000	96
20220527 233157	890	20	124	6	5	11750000	97
20220527 233927	1000	26	500	9	5	11471000	98
20220527 234303	639	21	100	6	5	11464000	99
20220527 234826	1000	18	137	6	5	11794000	100
20220527 235343	1000	23	49	6	5	11241000	101
20220527 235818	902	19	169	6	5	11486000	102
20220528 000221	889	19	125	5	5	11810000	103
20220528 000421	525	26	60	3	5	11762000	104
20220528 000607	536	30	44	2	5	11033000	105
20220528 000837	491	26	449	6	5	11223000	106
20220528 001050	526	23	68	4	5	11227000	107
20220528 001219	455	26	129	2	5	11309000	108
20220528 001755	1000	16	473	7	5	11544000	109
20220528 002546	980	12	274	13	5	11594000	110
20220528 003343	1000	12	332	13	5	11707000	111
20220528 004030	949	15	301	10	5	11137000	112
20220528 004632	753	12	306	13	5	11645000	113
20220528 005035	381	14	439	16	5	11107000	114
20220528 005430	758	18	59	6	5	11274000	115
20220528 005756	752	19	139	5	5	11698000	116
