fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220526 212320	1081	30	435	34	5	10025000	1
20220526 215603	1772	22	196	24	5	10057000	2
20220526 221304	2169	9	222	15	5	11248000	3
20220526 230427	1901	18	84	35	5	9978000	4
20220526 235513	2306	11	373	39	5	10945000	5
20220526 235833	592	26	320	5	5	11349000	6
20220527 001745	824	17	297	31	5	10342000	7
20220527 002700	1365	3	145	44	5	10087000	8
20220527 003208	230	21	53	27	5	9247000	9
20220527 003547	1215	14	269	2	5	10639000	10
20220527 010436	1678	27	405	22	5	10437000	11
20220527 011319	517	7	450	46	5	10218000	12
20220527 013710	2496	14	110	13	5	11228000	13
20220527 013747	349	1	20	10	5	0	14
20220527 014638	1594	5	481	19	5	11101000	15
20220527 022251	882	24	169	50	5	9229000	16
20220527 024944	1501	7	500	50	5	10317000	17
20220527 025658	2426	14	500	2	5	10806000	18
