fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220608 012630	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	999983	0.211128200054751	0.436918042879552	5587	603	0.0256631957963691	12034000	1
20220608 012638	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	17	TRUE	999983	0.259803319014027	0.768872623369098	5156	704	0.0154699195787543	12545000	2
20220608 012648	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	999983	0.135578976313234	0.635087372083217	4083	182	0.0412922945048194	9132000	3
20220608 012715	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	123	TRUE	999983	0.0535586674973601	0.734268156792969	3466	319	0.0373209181246542	10072000	4
20220608 012724	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	999983	0.192320795645937	0.846300888024271	2899	385	0.0198268771394699	12623000	5
20220608 012735	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	44	TRUE	999983	0.181422887517372	0.216076816515997	7854	295	0.0375368579494534	10404000	6
20220608 012753	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	999983	0.110857618900598	0.507010314920917	3822	467	0.0496872322284617	7462000	7
20220608 012812	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	999983	0.124505896304152	0.719179244758561	438	725	0.02323872193568	10710000	8
20220608 012823	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	999983	0.248392283439403	0.267604698613286	2685	828	0.032676179727423	10297000	9
20220608 012859	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	264	TRUE	999983	0.0216652381479507	0.66305265522562	4480	482	0.0108887302689254	12797000	10
20220608 012910	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	20	TRUE	999983	0.236399057398899	0.479033365817741	2346	224	0.0281073084920839	10922000	11
20220608 012924	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	999983	0.157611197022838	0.539158221883699	7169	928	0.0311273101542611	11336000	12
20220608 012942	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	999983	0.0481988460911671	0.914432922173291	1432	990	0.0131830948637798	13139000	13
20220608 012956	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	999983	0.0811263511892175	0.291410509860143	5837	62	0.0216396331816213	12576000	14
20220608 013014	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2	TRUE	999983	0.292604610380717	0.585297349998728	169	783	0.0470560245710658	5392000	15
20220608 013023	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	999983	0.276237122994498	0.359692265568301	6090	662	0.0185785242230243	12629000	16
20220608 013104	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	136	TRUE	999983	0.0293161564811599	0.930946222906932	821	148	0.0430998851753733	8859000	17
20220608 013114	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	999983	0.14800995709491	0.838741482170299	7494	540	0.0457096862034329	8260000	18
20220608 013122	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	999983	0.223598970280495	0.966816783584654	6449	102	0.00834996603177084	11175000	19
20220608 013139	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	999983	0.0960209027248202	0.360073859477416	1796	876	0.0347302975749093	10738000	20
20220608 013248	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	397	TRUE	999983	0.0147067863285907	0.345213643280821	3696	993	0.0155868969993037	13598000	21
20220608 013402	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	505	TRUE	999983	0.0107776553337456	0.753334714731563	2890	1019	0.0158717889382961	13485000	22
20220608 013424	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	999983	0.05203499957395	0.315012862525813	2556	890	0.0129101109608713	13248000	23
20220608 013445	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	122	TRUE	999983	0.0516712148173891	0.200601246163282	5430	1024	0.0179827348047373	13373000	24
20220608 013509	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	151	TRUE	999983	0.0382980315927392	0.999915936839079	3624	1024	0.013675135647059	13009000	25
20220608 013726	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1376	TRUE	999983	0.0102291378443424	0.200110468531803	4671	432	0.0180428050072308	13259000	26
20220608 013908	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	625	TRUE	999983	0.0105473557298399	0.259651028719837	2776	1024	0.0179892071210296	13708000	27
20220608 013942	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	193	TRUE	999983	0.0336491890788699	0.336436919721355	3988	1024	0.0195998606931423	13054000	28
20220608 014139	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1122	TRUE	999983	0.0100055391143214	0.220156046878196	6609	777	0.0155172770593656	13344000	29
20220608 014251	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	365	TRUE	999983	0.0101827999936724	0.979765606199525	2120	170	0.0155370306647924	13404000	30
20220608 014500	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	862	TRUE	999983	0.0101040043179008	0.372545428772627	2784	469	0.016230748281747	13508000	31
20220608 014733	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1250	TRUE	999983	0.0105101682770267	0.206337064001354	2191	1024	0.0160704907530134	13453000	32
20220608 014858	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	446	TRUE	999983	0.0101675261750131	0.930508064604694	2696	641	0.0156701028079011	13565000	33
20220608 015006	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	605	TRUE	999983	0.0100693403474506	0.907135953253256	3162	19	0.0167131834879184	13510000	34
20220608 015122	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	511	TRUE	999983	0.0100270404042606	0.996571952849251	3044	317	0.0153996967962144	13171000	35
20220608 015331	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1023	TRUE	999983	0.0100522829606429	0.238336144629304	3135	794	0.016865719634494	13508000	36
20220608 015442	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	473	TRUE	999983	0.0166767682518999	0.263417776833604	2823	16	0.0170651570348929	13410000	37
20220608 015640	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1036	TRUE	999983	0.0100375796020164	0.206842501807988	5487	1023	0.012927104416595	13306000	38
20220608 015845	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	771	TRUE	999983	0.0101011169346298	0.526256426857465	5948	617	0.0174866800801591	13731000	39
20220608 020007	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	383	TRUE	999983	0.0100092736718104	0.644827038855082	2130	99	0.017851992269077	13794000	40
20220608 020134	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	454	TRUE	999983	0.010110888452229	0.595874171350628	2945	591	0.0175335804061601	13823000	41
20220608 020318	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	645	TRUE	999983	0.0109920276274728	0.584955893325575	3269	157	0.0175708793832577	13576000	42
20220608 020342	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	127	TRUE	999983	0.030254892777076	0.745248647130676	610	17	0.0173153827097332	12969000	43
20220608 020518	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	646	TRUE	999983	0.0103101827952294	0.568609354580899	8000	578	0.0179579392852027	13343000	44
20220608 020630	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	424	TRUE	999983	0.0101597135590661	0.743288201344059	2502	519	0.0176212508915632	13778000	45
20220608 020712	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	229	TRUE	999983	0.0202231578219559	0.877085436204481	2427	80	0.0185491066038328	13568000	46
20220608 020941	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1110	TRUE	999983	0.0100250688740754	0.455788449868843	5903	921	0.0173137155379637	13715000	47
20220608 021140	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	558	TRUE	999983	0.0101044010270547	0.52787154594544	4984	691	0.0176028416208328	13701000	48
20220608 021227	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	39	TRUE	999983	0.0129617451304192	0.51194417636636	4316	998	0.00833680605276631	11464000	49
20220608 021340	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	402	TRUE	999983	0.0113203356890876	0.629885177084497	2294	36	0.0133672219917314	13580000	50
20220608 021510	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	649	TRUE	999983	0.0100187447743513	0.601129119168292	5624	874	0.014380865428365	13534000	51
20220608 021522	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	999983	0.133712971890311	0.637054568561042	2388	45	0.0173178253722415	13295000	52
20220608 021712	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	692	TRUE	999983	0.0103381128584127	0.678269615507739	2198	589	0.0139792913701462	13667000	53
20220608 021831	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	760	TRUE	999983	0.0100318943673539	0.643756560092787	6655	19	0.0177743746217416	13336000	54
20220608 022009	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	404	TRUE	999983	0.010183195668232	0.524538217896341	2403	631	0.0178354035675339	13546000	55
20220608 022124	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	404	TRUE	999983	0.0100627466629827	0.679126677381963	3108	559	0.0172775435183963	13588000	56
20220608 022243	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	453	TRUE	999983	0.0100154780706471	0.821443053928325	2246	369	0.0145779019868373	13694000	57
20220608 022355	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	355	TRUE	999983	0.0101318790937424	0.828110126404833	2115	480	0.016477116086617	13700000	58
20220608 022520	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	528	TRUE	999983	0.0109151971035843	0.856735074806096	2339	513	0.0132126188562456	13304000	59
20220608 022544	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93	TRUE	999983	0.0486185926070311	0.605185858327698	2346	408	0.015361255361323	13380000	60
20220608 022710	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	507	TRUE	999983	0.0103500067199501	0.354882010288016	5333	598	0.0141645375639513	13399000	61
20220608 022831	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	742	TRUE	999983	0.0100612158192292	0.852489195693955	6017	675	0.0179955895169802	13239000	62
20220608 023021	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	429	TRUE	999983	0.0100240347427624	0.985220191793925	2139	923	0.0177079503617406	13336000	63
20220608 023137	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	442	TRUE	999983	0.0100259736857361	0.771351838528204	3265	94	0.0158784292942466	13640000	64
20220608 023303	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	525	TRUE	999983	0.0107510875568125	0.368505879433227	6097	736	0.0178287235304833	13538000	65
20220608 023546	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1450	TRUE	999983	0.0100180961635187	0.229595974410583	2470	224	0.0114278658861026	13270000	66
20220608 023559	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	999983	0.133913719898298	0.580719445429579	7060	1024	0.0176030186203668	12966000	67
20220608 023609	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	999983	0.193889787850143	0.200522830916533	7998	16	0.0118005446146657	13012000	68
20220608 023825	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1266	TRUE	999983	0.0101549098607916	0.28106539168109	5869	16	0.0117580979572556	13026000	69
20220608 023833	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	15	TRUE	999983	0.290753087168869	0.200632944311143	2793	16	0.01216936842274	11747000	70
20220608 023939	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	667	TRUE	999983	0.0204874090401678	0.201495116597742	7998	43	0.0170478770227002	13422000	71
20220608 024146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1272	TRUE	999983	0.0105428386525989	0.200302217854203	7999	296	0.0123143647701758	13081000	72
20220608 024208	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	999983	0.187062913214141	0.420979540212695	7992	17	0.0176182894431685	12966000	73
