fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220608 215510	0	0	0	1	auto	depthwise	256	0	1	0.178331820056075	0.701104446919635	4	23	0.0240888450600323	16	10270000	1
20220608 215957	0	0	0	1	auto	depthwise	256	0	1	0.158717976588407	0.626002770215273	4	15	0.0128870166445267	12	11407000	2
20220608 220234	0	0	0	1	auto	depthwise	256	0	1	0.254418051669607	0.344295324804261	5	17	0.0418829192766376	12	7035000	3
20220608 220546	0	0	0	1	auto	depthwise	256	0	1	0.218531675465638	0.454534898111597	9	21	0.0312125279956187	14	9599000	4
20220608 220710	0	0	0	1	auto	depthwise	256	0	1	0.239482490357943	0.429088192442432	2	5	0.0475012712762691	10	7588000	5
20220608 221326	0	0	0	1	auto	depthwise	256	0	1	0.0830380829226924	0.837111725034192	6	7	0.0280109041346198	58	10900000	6
20220608 222540	0	0	0	1	auto	depthwise	256	0	1	0.0497736020513112	0.984816024200991	1	8	0.0258444481825184	79	11038000	7
20220608 222929	0	0	0	1	auto	depthwise	256	0	1	0.114057634864119	0.301157755572349	3	14	0.018054696561497	41	11365000	8
20220608 224042	0	0	0	1	auto	depthwise	256	0	1	0.0334749465305358	0.394333703443408	8	27	0.0414258199632362	105	8270000	9
20220608 224931	0	0	0	1	auto	depthwise	256	0	1	0.107279052278376	0.768108478728682	5	25	0.0217097448029866	17	10899000	10
20220608 225232	0	0	0	1	auto	depthwise	256	0	1	0.263001288301311	0.54510986446403	6	13	0.0388902340016405	6	7772000	11
20220608 225714	0	0	0	1	auto	depthwise	256	0	1	0.0757020563401747	0.275312360282987	0	23	0.0365445930850304	8	790000	12
20220608 231026	0	0	0	1	auto	depthwise	256	0	1	0.0145189094776288	0.49416391693987	8	9	0.011281428966807	77	12882000	13
20220608 231327	0	0	0	1	auto	depthwise	256	0	1	0.299543747061165	0.569087135698646	10	18	0.0161766894661317	7	10887000	14
20220608 231900	0	0	0	1	auto	depthwise	256	0	1	0.147476291550673	0.74271841429174	8	19	0.0444449187950037	12	7019000	15
20220608 232026	0	0	0	1	auto	depthwise	256	0	1	0.285428008359624	0.855999881541357	0	3	0.0485940091932813	9	8403000	16
20220608 232321	0	0	0	1	auto	depthwise	256	0	1	0.195504582893453	0.88741204386577	3	3	0.020481803144988	81	11774000	17
20220608 232848	0	0	0	1	auto	depthwise	256	0	1	0.210958118128241	0.644243185240775	1	30	0.0315008988725216	3	5996000	18
20220608 234444	0	0	0	1	auto	depthwise	256	0	1	0.0540267234146595	0.950196300437674	10	28	0.00957773952541174	71	12359000	19
20220608 234655	0	0	0	1	auto	depthwise	256	0	1	0.132190328764496	0.225710613979027	7	11	0.0350253911834443	34	9601000	20
20220609 000100	0	0	0	1	auto	depthwise	256	0	1	0.0100467975587188	0.200156366693896	9	8	0.017244680802151	542	13364000	21
20220609 001256	0	0	0	1	auto	depthwise	256	0	1	0.0148180865232418	0.20002228660504	10	30	0.00890707652092102	259	12531000	22
20220609 002030	0	0	0	1	auto	depthwise	256	0	1	0.0107699385770347	0.20006739194713	7	2	0.0164648995663296	1012	13094000	23
20220609 002759	0	0	0	1	auto	depthwise	256	0	1	0.0140574531891112	0.20088725646942	10	2	0.00840228842359884	1153	11728000	24
20220609 004616	0	0	0	1	auto	depthwise	256	0	1	0.0128899631137885	0.200366230443505	8	15	0.0169503873015237	563	13146000	25
20220609 005724	0	0	0	1	auto	depthwise	256	0	1	0.0100533486370625	0.229163893182593	8	2	0.0220888848322296	1561	13119000	26
20220609 012933	0	0	0	1	auto	depthwise	256	0	1	0.010001226788759	0.474347778589744	10	30	0.0171337265640645	293	12917000	27
20220609 014634	0	0	0	1	auto	depthwise	256	0	1	0.0105299394650767	0.32676886763613	8	8	0.0186987055177816	391	12898000	28
20220609 020050	0	0	0	1	auto	depthwise	256	0	1	0.0101141808656108	0.999369983233823	1	2	0.00984482185092587	448	12020000	29
20220609 022022	0	0	0	1	auto	depthwise	256	0	1	0.0102431745360934	0.210510268937857	9	30	0.0142751800101912	423	13343000	30
20220609 022426	0	0	0	1	auto	depthwise	256	0	1	0.0234359623846613	0.202449189746265	10	3	0.025103848310909	354	12438000	31
20220609 024338	0	0	0	1	auto	depthwise	256	0	1	0.0105237765006324	0.200307806393902	9	20	0.0139853372770628	476	13028000	32
20220609 030509	0	0	0	1	auto	depthwise	256	0	1	0.0100269706840234	0.999674216938318	9	2	0.0146847707099398	1004	13291000	33
20220609 032702	0	0	0	1	auto	depthwise	256	0	1	0.0104864348015921	0.200387250186678	9	30	0.0167214131437965	580	13098000	34
20220609 041656	0	0	0	1	auto	depthwise	256	0	1	0.0100235996251198	0.753801322036176	8	30	0.0133317422687006	223	13272000	35
20220609 043213	0	0	0	1	auto	depthwise	256	0	1	0.0102928202000977	0.200322436508185	9	11	0.0148991415130898	459	13132000	36
20220609 044626	0	0	0	1	auto	depthwise	256	0	1	0.0100115207433622	0.758840247947292	10	2	0.0168256395168973	728	12904000	37
20220609 052524	0	0	0	1	auto	depthwise	256	0	1	0.0100019008333378	0.516552727651892	9	30	0.0123843210769877	346	13294000	38
20220609 055403	0	0	0	1	auto	depthwise	256	0	1	0.0100040807354865	0.997451817933518	8	6	0.0125666796676849	229	13245000	39
20220609 061309	0	0	0	1	auto	depthwise	256	0	1	0.0100755979982767	0.200099118041994	7	30	0.0116198901047312	350	12981000	40
20220609 063437	0	0	0	1	auto	depthwise	256	0	1	0.0146900088781334	0.999333773441048	4	6	0.0164086961407848	168	12840000	41
20220609 080154	0	0	0	1	auto	depthwise	256	0	1	0.0105851148222271	0.9998521661684	2	30	0.0141567791375453	216	12200000	42
20220609 084726	0	0	0	1	auto	depthwise	256	0	1	0.0125633490709269	0.999446406779393	9	30	0.0142531015138808	131	13160000	43
20220609 085524	0	0	0	1	auto	depthwise	256	0	1	0.0102891702791978	0.200041224513845	9	2	0.017250861137672	1110	13078000	44
20220609 093603	0	0	0	1	auto	depthwise	256	0	1	0.0100606402803427	0.99679045570587	9	8	0.0163750059539917	340	12908000	45
20220609 095850	0	0	0	1	auto	depthwise	256	0	1	0.0100200043543489	0.999107326651554	7	2	0.01302956362516	1090	13086000	46
20220609 113606	0	0	0	1	auto	depthwise	256	0	1	0.0103235486153685	0.997304057024682	10	4	0.0119211179592706	692	13101000	47
20220609 113816	0	0	0	1	auto	depthwise	256	0	1	0.189288804372149	0.200074146433835	8	30	0.0139583025384441	19	11038000	48
20220609 114814	0	0	0	1	auto	depthwise	256	0	1	0.0106699459527518	0.200166113428208	5	4	0.0222432396215312	704	12707000	49
20220609 122638	0	0	0	1	auto	depthwise	256	0	1	0.0101964125741577	0.646877063235624	10	30	0.0137636230784698	219	13765000	50
20220609 122748	0	0	0	1	auto	depthwise	256	0	1	0.232536981556173	0.200855665665431	8	2	0.0234874511137635	125	11768000	51
20220609 124743	0	0	0	1	auto	depthwise	256	0	1	0.0100317879211744	0.847710340027865	0	2	0.0154560857292304	1043	12818000	52
20220609 125045	0	0	0	1	auto	depthwise	256	0	1	0.299289471740047	0.999668921979861	0	2	0.015069020785885	132	11515000	53
20220609 131726	0	0	0	1	auto	depthwise	256	0	1	0.0110844700391747	0.264108500230413	0	30	0.0083457883931768	129	2641000	54
20220609 132947	0	0	0	1	auto	depthwise	256	0	1	0.0164202657139273	0.898446628797347	2	2	0.0153106388393094	582	12796000	55
20220609 134606	0	0	0	1	auto	depthwise	256	0	1	0.0101198375100814	0.633354765133024	3	2	0.0166557607549818	1080	12919000	56
20220609 134655	0	0	0	1	auto	depthwise	256	0	1	0.299790681427828	0.200976214145028	3	2	0.0171461738729012	61	12586000	57
20220609 145743	0	0	0	1	auto	depthwise	256	0	1	0.0100028764303188	0.980608277977694	5	30	0.0127182616997922	170	12833000	58
20220609 151248	0	0	0	1	auto	depthwise	256	0	1	0.011627165174537	0.200391705871294	8	7	0.0142115344607234	769	13347000	59
20220609 152011	0	0	0	1	auto	depthwise	256	0	1	0.0119328052192844	0.826667961855058	9	2	0.00841176568823898	137	11064000	60
20220609 155552	0	0	0	1	auto	depthwise	256	0	1	0.0102590370868761	0.689714642223164	10	30	0.0129002036646847	140	13417000	61
20220609 161806	0	0	0	1	auto	depthwise	256	0	1	0.0108282135539746	0.596508160618914	10	7	0.014853026218981	326	13323000	62
20220609 164449	0	0	0	1	auto	depthwise	256	0	1	0.010308982701336	0.620465873326245	8	6	0.0174171926002979	552	13410000	63
20220609 164617	0	0	0	1	auto	depthwise	256	0	1	0.299925466131584	0.479707268832943	3	2	0.0210289691373406	91	12021000	64
20220609 172350	0	0	0	1	auto	depthwise	256	0	1	0.0100846031575559	0.99922575438039	10	2	0.0235102946042961	2207	12697000	65
20220609 172555	0	0	0	1	auto	depthwise	256	0	1	0.200193162371709	0.999918054544798	10	2	0.014166036368252	66	13166000	66
20220609 174505	0	0	0	1	auto	depthwise	256	0	1	0.0195838265967827	0.606032844718162	10	30	0.0140923254522776	101	13559000	67
20220609 181416	0	0	0	1	auto	depthwise	256	0	1	0.0102158424178988	0.639599458438287	10	2	0.0224428476842792	2452	12603000	68
20220609 182012	0	0	0	1	auto	depthwise	256	0	1	0.295970394634993	0.999977748738062	8	30	0.0134429495948568	6	11840000	69
20220609 190248	0	0	0	1	auto	depthwise	256	0	1	0.0103153224213147	0.637230778104914	8	25	0.0141404596386692	249	13182000	70
20220609 190443	0	0	0	1	auto	depthwise	256	0	1	0.299541195253305	0.999848194431567	10	2	0.0270753182188879	59	10939000	71
20220609 190518	0	0	0	1	auto	depthwise	256	0	1	0.291359182563715	0.201464539912473	10	2	0.0499871943180093	32	7828000	72
20220609 190725	0	0	0	1	auto	depthwise	256	0	1	0.299972160349221	0.999759173168009	10	3	0.0106890675387069	37	12101000	73
20220609 191022	0	0	0	1	auto	depthwise	256	0	1	0.0966823085620934	0.999405370644927	8	2	0.0151950089705614	106	12986000	74
20220609 192933	0	0	0	1	auto	depthwise	256	0	1	0.0103099596877444	0.517178921826056	6	6	0.0152191110710666	346	13549000	75
20220609 193122	0	0	0	1	auto	depthwise	256	0	1	0.139480290643626	0.449308633954687	4	2	0.016918787263312	121	13167000	76
20220609 194937	0	0	0	1	auto	depthwise	256	0	1	0.0123327581713416	0.484643730185949	4	6	0.0160910481343562	415	13696000	77
20220609 200603	0	0	0	1	auto	depthwise	256	0	1	0.0100546713029149	0.49326736123499	5	4	0.0168838063181356	558	13338000	78
20220609 202659	0	0	0	1	auto	depthwise	256	0	1	0.0102874941819727	0.44326637710745	4	5	0.0140023508638653	708	13473000	79
20220609 205456	0	0	0	1	auto	depthwise	256	0	1	0.0102520592045543	0.989196152597708	10	2	0.0333310631987273	1494	10871000	80
20220609 205932	0	0	0	1	auto	depthwise	256	0	1	0.0533735034043691	0.507697688065108	4	6	0.015149314046633	59	12878000	81
20220609 211930	0	0	0	1	auto	depthwise	256	0	1	0.0100379771437209	0.453795228235323	4	6	0.018365026359732	457	13146000	82
20220609 212106	0	0	0	1	auto	depthwise	256	0	1	0.233376624863884	0.411116325182328	4	5	0.0160596626302976	18	11435000	83
20220609 212843	0	0	0	1	auto	depthwise	256	0	1	0.148643589833011	0.999999827060526	10	30	0.013650274295315	17	12089000	84
20220609 212943	0	0	0	1	auto	depthwise	256	0	1	0.144880443023319	0.20014704113911	4	2	0.02051532091715	98	12422000	85
20220609 213340	0	0	0	1	auto	depthwise	256	0	1	0.127881981877734	0.999657065491213	0	2	0.0158965928166057	173	12717000	86
20220609 220806	0	0	0	1	auto	depthwise	256	0	1	0.0100654296565237	0.479978254006382	6	29	0.0159782165129726	170	12986000	87
20220609 221029	0	0	0	1	auto	depthwise	256	0	1	0.150500756679688	0.999945992698978	8	2	0.0115442790263857	76	12742000	88
20220609 221207	0	0	0	1	auto	depthwise	256	0	1	0.143221210513936	0.630333662512677	10	2	0.0168676441858006	75	13255000	89
20220609 221525	0	0	0	1	auto	depthwise	256	0	1	0.146847353091207	0.920573909154272	10	2	0.0209386214708939	167	12460000	90
20220609 221644	0	0	0	1	auto	depthwise	256	0	1	0.13261738280894	0.200489715240578	10	5	0.0168224689971953	45	12962000	91
20220609 221835	0	0	0	1	auto	depthwise	256	0	1	0.299991289158191	0.990391046669356	8	2	0.0169092367217122	62	12086000	92
20220609 232603	0	0	0	1	auto	depthwise	256	0	1	0.0100409230626487	0.981308241783419	7	30	0.025838081661951	219	10650000	93
20220609 232902	0	0	0	1	auto	depthwise	256	0	1	0.299943374046269	0.489468357050977	10	30	0.00844668795949897	10	10861000	94
20220609 235411	0	0	0	1	auto	depthwise	256	0	1	0.0103924434743658	0.311535015490804	1	6	0.0165659011439344	1082	13367000	95
20220609 235519	0	0	0	1	auto	depthwise	256	0	1	0.156073308688026	0.218225603261105	0	2	0.0175392093250678	99	12081000	96
20220610 002316	0	0	0	1	auto	depthwise	256	0	1	0.0101972124224374	0.462260747722962	6	15	0.0136740415662029	220	13287000	97
20220610 002501	0	0	0	1	auto	depthwise	256	0	1	0.133353238880942	0.538721550414167	10	2	0.0134922199643015	88	13240000	98
20220610 002736	0	0	0	1	auto	depthwise	256	0	1	0.114518578990289	0.693459914109069	8	2	0.0238524289310723	145	12295000	99
20220610 011355	0	0	0	1	auto	depthwise	256	0	1	0.0100741797743254	0.999414139525508	1	7	0.0136293152805244	465	13351000	100
