fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220608 230126	0	0	0	1	hist	lossguide	256	0	1	0.211611439346569	0.775032811947167	9	517	0.0358407060227667	18	8615000	1
20220608 230201	0	0	0	1	hist	lossguide	256	0	1	0.170883391554817	0.421113158036023	6	136	0.01982672654752	11	11435000	2
20220608 230231	0	0	0	1	hist	lossguide	256	0	1	0.244913805876859	0.577052248157561	3	595	0.0250848023584695	5	8855000	3
20220608 230305	0	0	0	1	hist	lossguide	256	0	1	0.133328541362192	0.282307408321649	8	450	0.040377998270075	27	8327000	4
20220608 230343	0	0	0	1	hist	lossguide	256	0	1	0.145607034614193	0.522449022838846	4	489	0.0316050745420701	23	8397000	5
20220608 230430	0	0	0	1	hist	lossguide	256	0	1	0.0913255619772244	0.8561140563339	5	337	0.0388360929709355	32	7959000	6
20220608 230502	0	0	0	1	hist	lossguide	256	0	1	0.217208170447149	0.275886992057785	2	168	0.0110297826662039	6	9035000	7
20220608 230528	0	0	0	1	hist	lossguide	256	0	1	0.239718223824981	0.517789911329746	7	295	0.0446468387652809	10	6876000	8
20220608 230559	0	0	0	1	hist	lossguide	256	0	1	0.159114487083862	0.895695851286873	8	828	0.041818301313712	13	7627000	9
20220608 230648	0	0	0	1	hist	lossguide	256	0	1	0.0579891672191443	0.335411994503811	9	403	0.0166140470721681	38	12842000	10
20220608 230734	0	0	0	1	hist	lossguide	256	0	1	0.114999233368319	0.663271184517071	2	987	0.0306592081828664	17	6139000	11
20220608 230821	0	0	0	1	hist	lossguide	256	0	1	0.106486517181271	0.957308723470196	2	732	0.00944951167524171	9	10507000	12
20220608 231025	0	0	0	1	hist	lossguide	256	0	1	0.0248854917180724	0.445748771438375	4	666	0.0464664978751292	99	6517000	13
20220608 231111	0	0	0	1	hist	lossguide	256	0	1	0.0702090182536049	0.80737612336874	10	796	0.0185972057787391	38	12201000	14
20220608 231136	0	0	0	1	hist	lossguide	256	0	1	0.268932896474143	0.603305281819776	6	80	0.01413779376259	5	10848000	15
20220608 231154	0	0	0	1	hist	lossguide	256	0	1	0.293690556096495	0.72833554408513	0	900	0.0284710086072058	1	596000	16
20220608 231234	0	0	0	1	hist	lossguide	256	0	1	0.197226423733286	0.694689838327467	0	220	0.0485141329666173	3	615000	17
20220608 231352	0	0	0	1	hist	lossguide	256	0	1	0.0527501421612687	0.210982096912339	1	927	0.0244398783096888	26	7301000	18
20220608 231428	0	0	0	1	hist	lossguide	256	0	1	0.285465718305553	0.362104041920975	10	699	0.0346418753523418	8	8557000	19
20220608 231800	0	0	0	1	hist	lossguide	256	0	1	0.0102481694200542	0.973838440217078	5	21	0.0217955140105914	260	12690000	20
20220608 232148	0	0	0	1	hist	lossguide	256	0	1	0.0100007887353879	0.876220222419139	6	561	0.0114431659806195	150	12830000	21
20220608 232550	0	0	0	1	hist	lossguide	256	0	1	0.0101101404768484	0.946800055394293	8	66	0.0160133984942333	291	12991000	22
20220608 232944	0	0	0	1	hist	lossguide	256	0	1	0.0100405081489164	0.561900788359803	8	602	0.0163885881768182	308	13135000	23
20220608 233401	0	0	0	1	hist	lossguide	256	0	1	0.0100551354982692	0.747707836455368	4	327	0.014428733819668	168	12819000	24
20220608 233649	0	0	0	1	hist	lossguide	256	0	1	0.0103091420654065	0.202387967672404	8	869	0.0085335307485356	48	12549000	25
20220608 233926	0	0	0	1	hist	lossguide	256	0	1	0.010103061256035	0.611176516391066	9	392	0.00834496573156037	39	12111000	26
20220608 234332	0	0	0	1	hist	lossguide	256	0	1	0.0101538313920917	0.322343620800556	5	721	0.0148048117557215	241	13017000	27
20220608 234807	0	0	0	1	hist	lossguide	256	0	1	0.0100781102991503	0.20912006668824	7	638	0.0172568558470505	397	13226000	28
20220608 235205	0	0	0	1	hist	lossguide	256	0	1	0.0102498527369576	0.99981854453581	7	358	0.0182184834817206	249	12464000	29
20220608 235701	0	0	0	1	hist	lossguide	256	0	1	0.0100357531434154	0.287054378235215	8	2	0.0165963533398897	2169	13164000	30
20220609 000059	0	0	0	1	hist	lossguide	256	0	1	0.0102647634560186	0.632436501129826	10	2	0.0192980107421874	1555	12968000	31
20220609 000554	0	0	0	1	hist	lossguide	256	0	1	0.0100659523458969	0.203778837479254	9	697	0.0187541135808048	621	12746000	32
20220609 001032	0	0	0	1	hist	lossguide	256	0	1	0.0105678460846441	0.684211175219503	7	2	0.0163883710653333	2078	13113000	33
20220609 001200	0	0	0	1	hist	lossguide	256	0	1	0.032328354289943	0.365109323413748	7	650	0.0146599290851646	80	12717000	34
20220609 001626	0	0	0	1	hist	lossguide	256	0	1	0.0100145484323642	0.735299496955629	5	583	0.0165897520118984	263	12710000	35
20220609 001945	0	0	0	1	hist	lossguide	256	0	1	0.0102203290416044	0.200447894132341	4	587	0.00943764651862847	61	12811000	36
20220609 002446	0	0	0	1	hist	lossguide	256	0	1	0.0100072498159024	0.201028294179382	6	366	0.0164441728121856	468	13320000	37
20220609 002855	0	0	0	1	hist	lossguide	256	0	1	0.0106382761005023	0.201532995821124	6	1018	0.0158670932184924	304	13195000	38
20220609 003222	0	0	0	1	hist	lossguide	256	0	1	0.0100053377376473	0.931949294414865	5	3	0.0106732650257626	1031	12593000	39
20220609 003614	0	0	0	1	hist	lossguide	256	0	1	0.0100492334480948	0.610077134623239	8	95	0.019912887689646	274	12456000	40
20220609 003706	0	0	0	1	hist	lossguide	256	0	1	0.0688806530258603	0.200968785308322	10	17	0.0157756076012861	88	12992000	41
20220609 003827	0	0	0	1	hist	lossguide	256	0	1	0.0488927491184766	0.907182817958563	10	2	0.0157458374623813	526	13159000	42
20220609 004158	0	0	0	1	hist	lossguide	256	0	1	0.0100073956612817	0.659944574618107	10	4	0.0158173217306008	987	13454000	43
20220609 004522	0	0	0	1	hist	lossguide	256	0	1	0.0102283932010463	0.540767406871885	10	610	0.0153903614913212	259	13787000	44
20220609 004928	0	0	0	1	hist	lossguide	256	0	1	0.0102102654974299	0.266094073054572	10	501	0.0155405523180597	429	13201000	45
20220609 005307	0	0	0	1	hist	lossguide	256	0	1	0.010173159792683	0.784869482662613	10	1022	0.0120795229836896	232	13541000	46
20220609 005715	0	0	0	1	hist	lossguide	256	0	1	0.0107771266708426	0.201435563186081	4	2	0.0179076234486393	1788	13179000	47
20220609 010035	0	0	0	1	hist	lossguide	256	0	1	0.0102670991196594	0.54129462571486	10	1014	0.0134823429734222	225	13314000	48
20220609 010417	0	0	0	1	hist	lossguide	256	0	1	0.0100929423465544	0.994535229302305	10	719	0.0127975114630189	253	13266000	49
20220609 010755	0	0	0	1	hist	lossguide	256	0	1	0.0100631609585156	0.731168897996069	10	591	0.0147623110220188	274	13425000	50
20220609 010823	0	0	0	1	hist	lossguide	256	0	1	0.212530266512952	0.992368987693573	10	1024	0.00833816404050634	11	11046000	51
20220609 011146	0	0	0	1	hist	lossguide	256	0	1	0.0103177077300813	0.99274871532974	6	1024	0.00834503085970698	87	12240000	52
20220609 011450	0	0	0	1	hist	lossguide	256	0	1	0.0101430395571375	0.565906994475238	10	760	0.0116546390203325	145	13275000	53
20220609 011930	0	0	0	1	hist	lossguide	256	0	1	0.0101358093696665	0.919258914637878	3	2	0.0162088952334205	2039	13001000	54
20220609 012316	0	0	0	1	hist	lossguide	256	0	1	0.010060546830912	0.903336991072339	10	1017	0.0144705032871172	280	13479000	55
20220609 012831	0	0	0	1	hist	lossguide	256	0	1	0.0100408515156943	0.504688991822858	10	589	0.0164496665423849	671	13270000	56
20220609 012951	0	0	0	1	hist	lossguide	256	0	1	0.0654606995960467	0.986978776763333	10	2	0.0244695948885201	548	12596000	57
20220609 013035	0	0	0	1	hist	lossguide	256	0	1	0.0852635506697156	0.578596112665371	10	601	0.0148173165488243	42	12804000	58
20220609 013108	0	0	0	1	hist	lossguide	256	0	1	0.252040722601633	0.983147452163252	10	2	0.0227824515096387	183	12844000	59
20220609 013531	0	0	0	1	hist	lossguide	256	0	1	0.0104185971817553	0.388429983435301	4	3	0.0152086455139811	1593	13435000	60
20220609 013854	0	0	0	1	hist	lossguide	256	0	1	0.0100073172204182	0.911247336000622	10	1020	0.0103526791943983	171	12853000	61
20220609 014350	0	0	0	1	hist	lossguide	256	0	1	0.0101043299478826	0.200395383661297	9	302	0.0142509328619551	625	13152000	62
20220609 014414	0	0	0	1	hist	lossguide	256	0	1	0.296829378145975	0.200368832354732	10	2	0.0157849540808543	103	12870000	63
20220609 014437	0	0	0	1	hist	lossguide	256	0	1	0.297734392740778	0.201003078268295	10	2	0.02416535469066	104	12185000	64
20220609 014726	0	0	0	1	hist	lossguide	256	0	1	0.0104527629303321	0.554529969252634	4	3	0.0152802138827543	809	13022000	65
20220609 015332	0	0	0	1	hist	lossguide	256	0	1	0.0102242706025692	0.224604538816385	0	214	0.0154550019228501	169	5952000	66
20220609 015756	0	0	0	1	hist	lossguide	256	0	1	0.0101273619599754	0.861681099029322	4	1023	0.0140452882544017	217	12609000	67
20220609 015850	0	0	0	1	hist	lossguide	256	0	1	0.0617495109210832	0.25289036835393	5	2	0.0145610941746608	273	12974000	68
20220609 015916	0	0	0	1	hist	lossguide	256	0	1	0.299451189957351	0.200388230077662	7	1024	0.0150947159225694	13	11387000	69
20220609 015941	0	0	0	1	hist	lossguide	256	0	1	0.249827755734911	0.99858039977829	4	2	0.0160942074860128	114	12448000	70
20220609 020305	0	0	0	1	hist	lossguide	256	0	1	0.0100337286405068	0.658938464706496	10	961	0.0151465902683245	241	13373000	71
20220609 020637	0	0	0	1	hist	lossguide	256	0	1	0.0104757476706138	0.810744619534203	8	1024	0.0142832433388196	228	13239000	72
20220609 021140	0	0	0	1	hist	lossguide	256	0	1	0.0101072348685556	0.543210799463698	10	3	0.0148885545855858	1966	13450000	73
20220609 021535	0	0	0	1	hist	lossguide	256	0	1	0.0105159667624607	0.998283201965242	4	636	0.0141142993345185	100	12404000	74
20220609 021746	0	0	0	1	hist	lossguide	256	0	1	0.0191316203053349	0.565894703090959	10	404	0.0150501239142304	196	13158000	75
20220609 021814	0	0	0	1	hist	lossguide	256	0	1	0.185549762556844	0.200016408234917	9	571	0.0146360356866112	14	12013000	76
20220609 021847	0	0	0	1	hist	lossguide	256	0	1	0.155416349680607	0.999884073521349	9	2	0.0152285379020116	171	13176000	77
20220609 022159	0	0	0	1	hist	lossguide	256	0	1	0.0103406212163952	0.20086421802241	4	1023	0.00834206165301606	47	12512000	78
20220609 022540	0	0	0	1	hist	lossguide	256	0	1	0.0101076131534333	0.303219545566734	10	634	0.0137518841930279	289	13500000	79
20220609 022952	0	0	0	1	hist	lossguide	256	0	1	0.0102167978212072	0.202286339893113	5	481	0.0154092645751618	266	13163000	80
20220609 023243	0	0	0	1	hist	lossguide	256	0	1	0.0133980862826885	0.798895095743646	9	3	0.0156155246395244	902	13137000	81
20220609 023619	0	0	0	1	hist	lossguide	256	0	1	0.0103746636107244	0.999523190278265	10	8	0.0152959489170802	639	13039000	82
20220609 023647	0	0	0	1	hist	lossguide	256	0	1	0.299766793534165	0.998842440478489	9	2	0.0155040073962913	131	12931000	83
20220609 024205	0	0	0	1	hist	lossguide	256	0	1	0.0100577486962517	0.327485115939596	4	2	0.0217515731166515	2400	12969000	84
20220609 024246	0	0	0	1	hist	lossguide	256	0	1	0.191970177624248	0.998814517125717	7	2	0.0193059243461121	263	12847000	85
20220609 024634	0	0	0	1	hist	lossguide	256	0	1	0.0101529250662568	0.998825764030047	10	1003	0.0156832816999221	311	13128000	86
20220609 025023	0	0	0	1	hist	lossguide	256	0	1	0.0101188749138427	0.83424995953324	10	678	0.014996508743065	306	13242000	87
20220609 025414	0	0	0	1	hist	lossguide	256	0	1	0.0100200836041629	0.3365241982127	10	70	0.0140290193051573	381	13411000	88
20220609 025822	0	0	0	1	hist	lossguide	256	0	1	0.0100422967973617	0.311423075496793	4	163	0.0155501745989443	222	12879000	89
20220609 025955	0	0	0	1	hist	lossguide	256	0	1	0.0324269085972867	0.786629508888722	4	2	0.0159435639529499	553	12954000	90
20220609 030054	0	0	0	1	hist	lossguide	256	0	1	0.0113018635491288	0.999186916159442	10	2	0.0499740291128049	1	0	91
20220609 030446	0	0	0	1	hist	lossguide	256	0	1	0.0100396551907072	0.204451908965618	6	846	0.0233522223553907	256	11958000	92
20220609 030804	0	0	0	1	hist	lossguide	256	0	1	0.0100172072440686	0.567374155420416	10	627	0.013862594568858	213	13542000	93
20220609 030920	0	0	0	1	hist	lossguide	256	0	1	0.0104767310282739	0.344232761917676	5	2	0.00842224586126353	130	10155000	94
20220609 031306	0	0	0	1	hist	lossguide	256	0	1	0.0104321346452652	0.677419202516016	4	1024	0.0108549156337086	83	13034000	95
20220609 031841	0	0	0	1	hist	lossguide	256	0	1	0.0106306483307433	0.201955914640686	6	2	0.0254403918342784	2598	12734000	96
20220609 031907	0	0	0	1	hist	lossguide	256	0	1	0.228386179058367	0.927094511513446	10	3	0.0181242948386556	85	12509000	97
20220609 032257	0	0	0	1	hist	lossguide	256	0	1	0.0100372376860286	0.371778173034714	10	685	0.0153180392615961	362	13430000	98
20220609 032655	0	0	0	1	hist	lossguide	256	0	1	0.0102983206572476	0.303071541036155	9	617	0.015377233791425	367	13294000	99
20220609 032725	0	0	0	1	hist	lossguide	256	0	1	0.298722655792639	0.998228460549475	7	2	0.0260400439837867	144	11657000	100
20220609 032747	0	0	0	1	hist	lossguide	256	0	1	0.298138276689209	0.200456003152017	5	2	0.0176581631491951	79	12899000	101
20220609 033109	0	0	0	1	hist	lossguide	256	0	1	0.0141332088664336	0.542412590273283	4	1016	0.0153044617534554	197	12890000	102
20220609 033440	0	0	0	1	hist	lossguide	256	0	1	0.0101393257486706	0.920854814379698	10	1023	0.0246277333664135	248	11661000	103
20220609 033752	0	0	0	1	hist	lossguide	256	0	1	0.0100568054542631	0.20054636134609	6	759	0.0125337260483621	87	12938000	104
20220609 034136	0	0	0	1	hist	lossguide	256	0	1	0.010057888236391	0.29829171048597	10	310	0.012464337806182	348	13102000	105
20220609 034511	0	0	0	1	hist	lossguide	256	0	1	0.0103147585536237	0.365454065018125	10	178	0.0154636314094404	328	13277000	106
