Feature	Gain	Cover	Frequency
ctrx_quarter	0.150400060480709	0.0446451527983911	0.0354488033343359
mpasivos_margen	0.0761250100282995	0.0277140239063113	0.0324839943281915
cpayroll_trx	0.0717992385697581	0.0280860050170872	0.0078631891032527
mpayroll	0.0625965500651294	0.0618118367270764	0.0218708374511236
mtarjeta_visa_consumo	0.0431137005338305	0.019817067757086	0.0244489322390753
mcaja_ahorro	0.0352644163580743	0.0144212800611418	0.0232028530915653
mcuentas_saldo	0.0295385411488208	0.0314953025423505	0.0302066772655008
mprestamos_personales	0.0295233315494629	0.0247924273804595	0.0107850298629313
mrentabilidad_annual	0.0275347600045437	0.0237517071237791	0.0300348042796374
mactivos_margen	0.024123951759621	0.0236305192308239	0.0230309801057019
Visa_msaldototal	0.0238806272418961	0.0147203919359051	0.0164998066428909
ctarjeta_visa_trx	0.0188658191014717	0.0122157513315612	0.0176599492974692
Visa_msaldopesos	0.0182107984069986	0.028232413525563	0.0250075194431315
Master_fechaalta	0.016740828279905	0.0323603528641947	0.0347613113908821
Master_Fvencimiento	0.0159344024776611	0.0210706758598118	0.027972328449276
chomebanking_trx	0.0153499895199701	0.0165630080149443	0.0205388218106819
Visa_Fvencimiento	0.0145639466611005	0.0120389820934232	0.0209685042753405
cliente_edad	0.013955081590496	0.0286097184957011	0.031710565891806
ctarjeta_visa_trx2	0.0137896500402565	0.0108421053275187	0.0128045374468268
Visa_fechaalta	0.0137073182097996	0.0104450620022744	0.0194646156490354
Visa_mpagominimo	0.0122280176754231	0.0152896821492491	0.0194216474025695
cliente_antiguedad	0.0116983238338417	0.00855144553647995	0.0162849654105616
numero_de_cliente	0.0114868752176359	0.0126110855094531	0.0207106947965454
mcuenta_corriente	0.0112456256798986	0.0090566276760048	0.0131482834185537
Master_mfinanciacion_limite	0.0108858766367919	0.0116889886326938	0.0206247583036136
ccomisiones_otras	0.0108754717656416	0.0164285952181466	0.0158123146994371
mrentabilidad	0.0107208099739176	0.0111060141524561	0.015855282945903
mcomisiones_otras	0.0107059806543926	0.0100402142571915	0.0156404417135737
mcaja_ahorro_dolares	0.0104488416335615	0.0230647423528162	0.024534868732007
Visa_mfinanciacion_limite	0.0103031758591392	0.0138286177725556	0.0180896317621278
mcomisiones	0.00882824421397227	0.00816380648170072	0.0141795213337344
mtransferencias_recibidas	0.00772430508268997	0.0115796332983329	0.0183044729944571
Visa_mconsumospesos	0.00765889874274158	0.00881882492846949	0.0169294891075495
